Date,Open,High,Low,Close,Adj Close,Volume
03-08-2023,326,329.880005,325.950012,326.660004,324.124512,18253700
04-08-2023,331.880005,335.140015,327.23999,327.779999,325.235779,23727700
07-08-2023,328.369995,331.109985,327.519989,330.109985,327.547699,17741500
08-08-2023,326.959991,328.75,323,326.049988,323.519196,22327600
09-08-2023,326.470001,327.109985,321.049988,322.230011,319.728882,22373300
10-08-2023,326.019989,328.26001,321.179993,322.929993,320.423431,20113700
11-08-2023,320.26001,322.410004,319.209991,321.01001,318.518341,24342600
14-08-2023,321.390015,324.059998,320.079987,324.040009,321.524841,18836100
15-08-2023,323,325.089996,320.899994,321.859985,319.361755,16966300
16-08-2023,320.799988,324.420013,319.799988,320.399994,318.586151,20698900
17-08-2023,320.540009,321.869995,316.209991,316.880005,315.086121,21257200
18-08-2023,314.48999,318.380005,311.549988,316.480011,314.688354,24744800
21-08-2023,317.929993,322.769989,317.040009,321.880005,320.0578,24040000
22-08-2023,325.5,326.079987,321.459991,322.459991,320.634491,16102000
23-08-2023,323.820007,329.200012,323.459991,327,325.148804,21166400
24-08-2023,332.850006,332.980011,319.959991,319.970001,318.1586,23281400
25-08-2023,321.470001,325.359985,318.799988,322.980011,321.15155,21684100
28-08-2023,325.660004,326.149994,321.720001,323.700012,321.867493,14808500
29-08-2023,321.880005,328.980011,321.880005,328.410004,326.550812,19284600
30-08-2023,328.670013,329.809998,326.450012,328.790009,326.92865,15222100
31-08-2023,329.200012,330.910004,326.779999,327.76001,325.90451,26411000
01-09-2023,331.309998,331.98999,326.779999,328.660004,326.799408,14931200
05-09-2023,329,334.850006,328.660004,333.549988,331.661713,18553900
06-09-2023,333.380005,334.459991,330.179993,332.880005,330.995544,17535800
07-09-2023,331.290009,333.079987,329.029999,329.910004,328.042328,18381000
08-09-2023,330.089996,336.160004,329.459991,334.269989,332.377625,19530100
11-09-2023,337.23999,338.420013,335.429993,337.940002,336.026855,16583300
12-09-2023,335.820007,336.790009,331.480011,331.769989,329.891785,17565500
13-09-2023,331.309998,336.850006,331.170013,336.059998,334.157501,16544400
14-09-2023,339.149994,340.859985,336.570007,338.700012,336.782562,20267000
15-09-2023,336.920013,337.399994,329.649994,330.220001,328.350586,37666900
18-09-2023,327.799988,330.399994,326.359985,329.059998,327.197144,16834200
19-09-2023,326.170013,329.390015,324.51001,328.649994,326.789459,16505900
20-09-2023,329.51001,329.589996,320.51001,320.769989,318.954071,21436500
21-09-2023,319.26001,325.350006,315,319.529999,317.721069,35529500
22-09-2023,321.320007,321.450012,316.149994,317.01001,315.215363,21447900
25-09-2023,316.589996,317.670013,315,317.540009,315.742371,17836000
26-09-2023,315.130005,315.880005,310.019989,312.140015,310.372955,26297600
27-09-2023,312.299988,314.299988,309.690002,312.790009,311.019257,19410100
28-09-2023,310.98999,315.480011,309.450012,313.640015,311.864441,19683600
29-09-2023,317.75,319.470001,314.980011,315.75,313.962463,24140300
02-10-2023,316.279999,321.890015,315.179993,321.799988,319.978241,20570000
03-10-2023,320.829987,321.390015,311.209991,313.390015,311.615875,21033500
04-10-2023,314.029999,320.040009,314,318.959991,317.154327,20720100
05-10-2023,319.089996,319.980011,314.899994,319.359985,317.552032,16965600
06-10-2023,316.549988,329.190002,316.299988,327.26001,325.407349,25645500
09-10-2023,324.75,330.299988,323.179993,329.820007,327.95282,19891200
10-10-2023,330.959991,331.100006,327.670013,328.390015,326.530945,20557100
11-10-2023,331.209991,332.820007,329.140015,332.420013,330.538147,20063200
12-10-2023,330.570007,333.630005,328.720001,331.160004,329.285248,19313100
13-10-2023,332.380005,333.829987,326.359985,327.730011,325.874695,21072400
16-10-2023,331.049988,336.140015,330.600006,332.640015,330.756866,22158000
17-10-2023,329.589996,333.459991,327.410004,332.059998,330.180145,18338500
18-10-2023,332.48999,335.589996,328.299988,330.109985,328.24118,23153600
19-10-2023,332.149994,336.880005,330.910004,331.320007,329.444366,25052100
20-10-2023,331.720001,331.920013,325.450012,326.670013,324.820679,25012600
23-10-2023,325.470001,332.730011,324.390015,329.320007,327.455658,24374700
24-10-2023,331.299988,331.839996,327.600006,330.529999,328.658813,31153600
25-10-2023,345.019989,346.200012,337.619995,340.670013,338.741425,55053800
26-10-2023,340.540009,341.630005,326.940002,327.890015,326.033783,37828500
27-10-2023,330.429993,336.720001,328.399994,329.809998,327.942902,29856500
30-10-2023,333.410004,339.450012,331.829987,337.309998,335.400421,22828100
31-10-2023,338.850006,339,334.690002,338.109985,336.195892,20265300
01-11-2023,339.790009,347.420013,339.649994,346.070007,344.11087,28158800
02-11-2023,347.23999,348.829987,344.769989,348.320007,346.348145,24348100
03-11-2023,349.630005,354.390015,347.329987,352.799988,350.802734,23624000
06-11-2023,353.450012,357.540009,353.350006,356.529999,354.511627,23828300
07-11-2023,359.399994,362.459991,357.630005,360.529999,358.488983,25833900
08-11-2023,361.679993,363.869995,360.549988,363.200012,361.14389,26767800
09-11-2023,362.299988,364.790009,360.359985,360.690002,358.648071,24847300
10-11-2023,361.48999,370.100006,361.070007,369.670013,367.57724,28042100
13-11-2023,368.220001,368.470001,365.899994,366.679993,364.604156,19986500
14-11-2023,371.01001,371.950012,367.350006,370.269989,368.173828,27683900
15-11-2023,371.279999,373.130005,367.109985,369.670013,368.323303,26860100
16-11-2023,370.959991,376.350006,370.179993,376.170013,374.799652,27182300
17-11-2023,373.609985,374.369995,367,369.850006,368.502655,40157000
20-11-2023,371.220001,378.869995,371,377.440002,376.065002,52465100
21-11-2023,375.670013,376.220001,371.119995,373.070007,371.710938,28423100
22-11-2023,378,379.790009,374.970001,377.850006,376.473511,23345300
24-11-2023,377.329987,377.970001,375.140015,377.429993,376.054993,10176600
27-11-2023,376.779999,380.640015,376.200012,378.609985,377.230713,22179200
28-11-2023,378.350006,383,378.160004,382.700012,381.305817,20453100
29-11-2023,383.76001,384.299988,377.440002,378.850006,377.469879,28963400
30-11-2023,378.48999,380.089996,375.470001,378.910004,377.529633,30554400
01-12-2023,376.76001,378.160004,371.309998,374.51001,373.145691,33020400
04-12-2023,369.100006,369.519989,362.899994,369.140015,367.795227,32063300
05-12-2023,366.450012,373.079987,365.619995,372.519989,371.162903,23065000
06-12-2023,373.540009,374.179993,368.029999,368.799988,367.456482,21182100
07-12-2023,368.230011,371.450012,366.320007,370.950012,369.598663,23118900
08-12-2023,369.200012,374.459991,368.230011,374.230011,372.866699,20144800
11-12-2023,368.480011,371.600006,366.100006,371.299988,369.947357,27708800
12-12-2023,370.850006,374.420013,370.459991,374.380005,373.016144,24838300
13-12-2023,376.019989,377.640015,370.769989,374.369995,373.006165,30955500
14-12-2023,373.309998,373.76001,364.130005,365.929993,364.596924,43277500
15-12-2023,366.850006,372.399994,366.279999,370.730011,369.379456,78478200
18-12-2023,369.450012,373,368.679993,372.649994,371.292419,21802900
19-12-2023,371.48999,373.26001,369.839996,373.26001,371.900208,20603700
20-12-2023,375,376.029999,370.529999,370.619995,369.269836,26316700
21-12-2023,372.559998,374.410004,370.040009,373.540009,372.179199,17708000
22-12-2023,373.679993,375.179993,372.709991,374.579987,373.215424,17091100
26-12-2023,375,376.940002,373.5,374.660004,373.295135,12673100
27-12-2023,373.690002,375.059998,372.809998,374.070007,372.707275,14905400
28-12-2023,375.369995,376.459991,374.160004,375.279999,373.912842,14327000
29-12-2023,376,377.160004,373.480011,376.040009,374.670074,18723000
02-01-2024,373.859985,375.899994,366.769989,370.869995,369.518921,25258600
03-01-2024,369.01001,373.26001,368.51001,370.600006,369.249908,23083500
04-01-2024,370.670013,373.100006,367.170013,367.940002,366.599579,20901500
05-01-2024,368.970001,372.059998,366.5,367.75,366.410278,20987000
08-01-2024,369.299988,375.200012,369.01001,374.690002,373.325012,23134000
09-01-2024,372.01001,375.98999,371.190002,375.790009,374.421021,20830000
10-01-2024,376.369995,384.170013,376.320007,382.769989,381.375549,25514200
11-01-2024,386,390.679993,380.380005,384.630005,383.228821,27850800
12-01-2024,385.48999,388.679993,384.649994,388.470001,387.05481,21645700
16-01-2024,393.660004,394.029999,387.619995,390.269989,388.848236,27202300
17-01-2024,387.980011,390.109985,384.809998,389.470001,388.051178,22234100
18-01-2024,391.720001,393.98999,390.119995,393.869995,392.43512,23392100
19-01-2024,395.76001,398.670013,393.5,398.670013,397.217651,29272000
22-01-2024,400.019989,400.619995,393.589996,396.51001,395.065552,27016900
23-01-2024,395.75,399.380005,393.929993,398.899994,397.446808,20525900
24-01-2024,401.540009,405.630005,400.450012,402.559998,401.093475,24867000
25-01-2024,404.320007,407.01001,402.529999,404.869995,403.39505,21021200
26-01-2024,404.369995,406.170013,402.429993,403.929993,402.458496,17803300
29-01-2024,406.059998,409.980011,404.329987,409.720001,408.227386,24510200
30-01-2024,412.26001,413.049988,406.450012,408.589996,407.101501,33477600
31-01-2024,406.959991,415.320007,397.209991,397.579987,396.131622,47871100
01-02-2024,401.829987,408,401.799988,403.779999,402.309052,30657700
02-02-2024,403.809998,412.649994,403.559998,411.220001,409.721924,28245000
05-02-2024,409.899994,411.160004,403.98999,405.649994,404.172211,25352300
06-02-2024,405.880005,407.970001,402.910004,405.48999,404.012787,18382600
07-02-2024,407.440002,414.299988,407.399994,414.049988,412.541626,22340500
08-02-2024,414.049988,415.559998,412.529999,414.109985,412.601379,21225300
09-02-2024,415.25,420.820007,415.089996,420.549988,419.017914,22032800
12-02-2024,420.559998,420.73999,414.75,415.26001,413.747192,21202900
13-02-2024,404.940002,410.070007,403.390015,406.320007,404.839783,27824900
14-02-2024,408.070007,409.839996,404.570007,409.48999,408.752716,20401200
15-02-2024,408.140015,409.130005,404.290009,406.559998,405.828003,21825500
16-02-2024,407.959991,408.290009,403.440002,404.059998,403.332489,22281100
20-02-2024,403.23999,404.48999,398.01001,402.790009,402.064789,24307900
21-02-2024,400.170013,402.290009,397.220001,402.179993,401.455872,18631100
22-02-2024,410.190002,412.829987,408.570007,411.649994,410.908813,27009900
23-02-2024,415.670013,415.859985,408.970001,410.339996,409.601196,16295900
26-02-2024,411.459991,412.160004,407.359985,407.540009,406.806244,16193500
27-02-2024,407.98999,408.320007,403.850006,407.480011,406.746338,14835800
28-02-2024,408.179993,409.299988,405.320007,407.720001,406.985901,13183100
29-02-2024,408.640015,414.200012,405.920013,413.640015,412.895264,31947300
01-03-2024,411.269989,415.869995,410.880005,415.5,414.751892,17800300
04-03-2024,413.440002,417.350006,412.320007,414.920013,414.172974,17596000
05-03-2024,413.959991,414.25,400.640015,402.649994,401.925018,26919200
06-03-2024,402.970001,405.160004,398.390015,402.089996,401.366028,22344100
07-03-2024,406.119995,409.779999,402.23999,409.140015,408.403381,18718500
08-03-2024,407.959991,410.420013,404.329987,406.220001,405.488617,17971700
11-03-2024,403.76001,405.679993,401.26001,404.519989,403.791656,16120800
12-03-2024,407.619995,415.570007,406.790009,415.279999,414.532288,22457000
13-03-2024,418.100006,418.179993,411.450012,415.100006,414.352631,17115900
14-03-2024,420.23999,427.820007,417.98999,425.220001,424.454407,34157300
15-03-2024,419.290009,422.600006,412.790009,416.420013,415.670258,45049800
18-03-2024,414.25,420.730011,413.779999,417.320007,416.568634,20106000
19-03-2024,417.829987,421.670013,415.549988,421.410004,420.651276,19837900
20-03-2024,422,425.959991,420.660004,425.230011,424.464386,17860100
21-03-2024,429.829987,430.820007,427.160004,429.369995,428.596924,21296200
22-03-2024,429.700012,429.859985,426.070007,428.73999,427.968048,17636500
25-03-2024,425.23999,427.410004,421.609985,422.859985,422.098633,18060500
26-03-2024,425.609985,425.98999,421.350006,421.649994,420.890808,16725600
27-03-2024,424.440002,424.450012,419.01001,421.429993,420.671204,16705000
28-03-2024,420.959991,421.869995,419.119995,420.720001,419.962494,21871200
01-04-2024,423.950012,427.890015,422.220001,424.570007,423.805573,16316000
02-04-2024,420.109985,422.380005,417.839996,421.440002,420.681213,17912000
03-04-2024,419.730011,423.26001,419.089996,420.450012,419.692993,16502300
04-04-2024,424.98999,428.670013,417.570007,417.880005,417.127625,19370900
05-04-2024,420.01001,426.51001,418.320007,425.519989,424.753845,16544300
08-04-2024,425.170013,427.279999,423.299988,424.589996,423.825531,14272400
09-04-2024,426.440002,427.73999,421.619995,426.279999,425.512482,12512300
10-04-2024,422.190002,424.029999,419.700012,423.26001,422.497925,16216600
11-04-2024,425.820007,429.369995,422.359985,427.929993,427.159515,17966400
12-04-2024,424.049988,425.179993,419.769989,421.899994,421.140381,19232100
15-04-2024,426.600006,426.820007,413.429993,413.640015,412.895264,20273500
16-04-2024,414.570007,418.399994,413.730011,414.579987,413.833557,16765600
17-04-2024,417.25,418.880005,410.329987,411.839996,411.09848,15855500
18-04-2024,410.630005,411.890015,403.950012,404.269989,403.542114,21029900
19-04-2024,404.029999,405.480011,397.769989,399.119995,398.401398,30276500
22-04-2024,400.079987,402.850006,395.75,400.959991,400.238068,20286900
23-04-2024,404.23999,408.200012,403.059998,407.570007,406.836182,15734500
24-04-2024,409.559998,412.470001,406.779999,409.059998,408.323486,15065300
25-04-2024,394.029999,399.890015,388.029999,399.040009,398.321533,40586500
26-04-2024,412.170013,413,405.76001,406.320007,405.58844,29694700
29-04-2024,405.25,406.320007,399.190002,402.25,401.525757,19582100
30-04-2024,401.48999,402.160004,389.170013,389.329987,388.628998,28781400
01-05-2024,392.609985,401.720001,390.309998,394.940002,394.228912,23562500
02-05-2024,397.660004,399.929993,394.649994,397.839996,397.123688,17709400
03-05-2024,402.279999,407.149994,401.859985,406.660004,405.927826,17446700
06-05-2024,408.76001,413.929993,406.369995,413.540009,412.795441,16996600
07-05-2024,414.660004,414.670013,409.089996,409.339996,408.602997,20018200
08-05-2024,408.170013,412.230011,406.709991,410.540009,409.800842,11792300
09-05-2024,410.570007,412.720001,409.100006,412.320007,411.577637,14689700
10-05-2024,412.940002,415.380005,411.799988,414.73999,413.993256,13402300
13-05-2024,418.01001,418.350006,410.820007,413.720001,412.975098,15440200
14-05-2024,412.019989,417.48999,411.549988,416.559998,415.809998,15109300
15-05-2024,417.899994,423.809998,417.269989,423.079987,423.079987,22239500
16-05-2024,421.799988,425.420013,420.350006,420.98999,420.98999,17530100
17-05-2024,422.540009,422.920013,418.029999,420.209991,420.209991,15352200
20-05-2024,420.209991,426.769989,419.98999,425.339996,425.339996,16272100
21-05-2024,426.829987,432.970001,424.850006,429.040009,429.040009,21453300
22-05-2024,430.089996,432.410004,427.130005,430.519989,430.519989,18073700
23-05-2024,432.970001,433.600006,425.420013,427,427,17211700
24-05-2024,427.190002,431.059998,424.410004,430.160004,430.160004,11845800
28-05-2024,429.630005,430.820007,426.600006,430.320007,430.320007,15718000
29-05-2024,425.690002,430.940002,425.690002,429.170013,429.170013,15517100
30-05-2024,424.299988,424.299988,414.23999,414.670013,414.670013,28424800
31-05-2024,416.75,416.75,404.51001,415.130005,415.130005,47995300
03-06-2024,415.529999,416.429993,408.920013,413.519989,413.519989,17484700
04-06-2024,412.429993,416.440002,409.679993,416.070007,416.070007,14348900
05-06-2024,417.809998,424.079987,416.299988,424.01001,424.01001,16988000
06-06-2024,424.01001,425.309998,420.579987,424.519989,424.519989,14861300
07-06-2024,426.200012,426.279999,423,423.850006,423.850006,13621700
10-06-2024,424.700012,428.079987,423.890015,427.869995,427.869995,14003000
11-06-2024,425.480011,432.820007,425.25,432.679993,432.679993,14551100
12-06-2024,435.320007,443.399994,433.25,441.059998,441.059998,22366200
13-06-2024,440.850006,443.390015,439.369995,441.579987,441.579987,15960600
14-06-2024,438.279999,443.140015,436.720001,442.570007,442.570007,13582000
17-06-2024,442.589996,450.940002,440.720001,448.369995,448.369995,20790000
18-06-2024,449.709991,450.140015,444.890015,446.339996,446.339996,17112500
20-06-2024,446.299988,446.529999,441.269989,445.700012,445.700012,19877400
21-06-2024,447.380005,450.579987,446.51001,449.779999,449.779999,34486200
24-06-2024,449.799988,452.75,446.410004,447.670013,447.670013,15913700
25-06-2024,448.25,451.420013,446.75,450.950012,450.950012,16747500
26-06-2024,449,453.600006,448.190002,452.160004,452.160004,16507000
27-06-2024,452.179993,456.170013,451.769989,452.850006,452.850006,14806300
28-06-2024,453.070007,455.380005,446.410004,446.950012,446.950012,28362300
01-07-2024,448.660004,457.369995,445.660004,456.730011,456.730011,17662800
02-07-2024,453.200012,459.589996,453.109985,459.279999,459.279999,13979800
03-07-2024,458.190002,461.019989,457.880005,460.769989,460.769989,9932800
05-07-2024,459.609985,468.350006,458.970001,467.559998,467.559998,16000300
08-07-2024,466.549988,467.700012,464.459991,466.23999,466.23999,12962300
09-07-2024,467,467.329987,458,459.540009,459.540009,17207200
10-07-2024,461.220001,466.459991,458.859985,466.25,466.25,18196100
11-07-2024,462.980011,464.779999,451.549988,454.700012,454.700012,23111200
12-07-2024,454.329987,456.359985,450.649994,453.549988,453.549988,16324300
15-07-2024,453.299988,457.26001,451.429993,453.959991,453.959991,14429400
16-07-2024,454.220001,454.299988,446.660004,449.519989,449.519989,17175700
17-07-2024,442.589996,444.850006,439.179993,443.519989,443.519989,21778000
18-07-2024,444.339996,444.649994,434.399994,440.369995,440.369995,20794800
19-07-2024,433.100006,441.140015,432,437.109985,437.109985,20940400
22-07-2024,441.790009,444.600006,438.910004,442.940002,442.940002,15808800
23-07-2024,443.899994,448.390015,443.100006,444.850006,444.850006,13107100
24-07-2024,440.450012,441.480011,427.589996,428.899994,428.899994,26805800
25-07-2024,428.799988,429.799988,417.51001,418.399994,418.399994,29943800
26-07-2024,418.200012,428.920013,417.269989,425.269989,425.269989,23583800
29-07-2024,431.579987,432.149994,424.700012,426.730011,426.730011,15125800
30-07-2024,427.720001,429.049988,417.359985,422.920013,422.920013,32687600
31-07-2024,420.5,421.779999,412.209991,418.350006,418.350006,42891400
01-08-2024,420.790009,427.459991,413.089996,417.109985,417.109985,30296400
02-08-2024,412.48999,415,404.339996,408.48999,408.48999,29399700
